Имя	Описание	Состояние  	Тип запуска	Вход от имени
OneSyncSvc_5291a	Эта служба синхронизирует почту, контакты, календарь и другие данные пользователя. Почта и другие приложения, зависящие от этой функции, не будут работать надлежащим образом, если не запущена эта служба.	Выполняется	Автоматически (отложенный запуск)	Локальная система
OpenSSH Authentication Agent	Agent to hold private keys used for public key authentication.		Отключена	Локальная система
P9RdrService_5291a	Включает файловые серверы Plan9 с запуском по триггеру.		Вручную (активировать запуск)	Локальная система
PenService_5291a	Служба пера		Вручную (активировать запуск)	Локальная система
PimIndexMaintenanceSvc_5291a	Индексирует контактные данные для обеспечения их быстрого нахождения. Остановка или отключение службы может стать причиной исключения контактов из результатов поиска.		Вручную	Локальная система
Plug and Play	Позволяет компьютеру распознавать изменения в установленном оборудовании и подстраиваться под них, либо не требуя вмешательства пользователя, либо сводя его к минимуму. Остановка или отключение этой службы может привести к нестабильной работе системы.	Выполняется	Вручную	Локальная система
PrintWorkflowUserSvc_5291a	Обеспечивает поддержку приложений рабочего процесса печати. Если вы выключите эту службу, печать может оказаться невозможной.		Вручную (активировать запуск)	Локальная система
Quality Windows Audio Video Experience	Quality Windows Audio Video Experience (qWave) - сетевая платформа для потоковой передачи аудио и видео в домашних сетях на основе IP-протокола. Платформа qWave обеспечивает более высокую производительность и надежность потоковой передачи аудио и видео, обеспечивая необходимое качество обслуживания сети для аудио- и видеоприложений. Платформа содержит механизмы управления доступом, отслеживания и принудительного выполнения, получения данных приложений и установки приоритета трафика.		Вручную	Локальная служба
Shared PC Account Manager	Manages profiles and accounts on a SharedPC configured device		Отключена	Локальная система
SMP дисковых пространств (Майкрософт)	Служба узла для поставщика управления дисковыми пространствами (Майкрософт). Если эта служба остановлена или отключена, дисковыми пространствами невозможно управлять.		Вручную	Сетевая служба
SysMain	Поддерживает и улучшает производительность системы.	Выполняется	Автоматически	Локальная система
Telegraf Data Collector Service	Collects data using a series of plugins and publishes it to another series of plugins.	Выполняется	Автоматически	Локальная система
UdkUserSvc_5291a	Служба компонентов оболочки	Выполняется	Вручную	Локальная система
UnistoreSvc_5291a	Обеспечивает хранение структурированных данных пользователя, в том числе контактной информации, календарей, сообщений и другого содержимого. Остановка или отключение службы может стать причиной неправильной работы приложений, использующих эти данные.		Вручную	Локальная система
UserDataSvc_5291a	Обеспечивает доступ приложений к структурированным данным пользователя, в том числе контактной информации, календарям, сообщениям и другому содержимому. Остановка или отключение службы может стать причиной неправильной работы приложений, использующих эти данные.		Вручную	Локальная система
Warp JIT Service	Enables JIT compilation support in d3d10warp.dll for processes in which code generation is disabled.		Вручную (активировать запуск)	Локальная служба
Windows Audio	Управление средствами работы со звуком для программ Windows.  Если эта служба остановлена, то аудиоустройства и эффекты не будут правильно работать.  Если данная служба отключена, то будет невозможно запустить все явно зависящие от нее службы.	Выполняется	Автоматически	Локальная служба
Windows Search	Индексирование контента, кэширование свойств и результатов поиска для файлов, электронной почты и другого контента.	Выполняется	Автоматически (отложенный запуск)	Локальная система
WpnUserService_5291a	Эта служба размещает платформу уведомлений Windows, которая обеспечивает поддержку локальных и push-уведомлений. Поддерживаются уведомления на плитке, всплывающие и необработанные уведомления.	Выполняется	Автоматически	Локальная система
Xbox Accessory Management Service	This service manages connected Xbox Accessories.		Вручную (активировать запуск)	Локальная система
Zoom Sharing Service	Enable Zoom meeting participants to control your desktop. If this service is stopped or disabled, remote users won't control any applications running at a High Integrity level.	Выполняется	Автоматически	Локальная система
Автоматическая настройка сетевых устройств	Служба автоматической установки подключенных к сети устройств отслеживает и устанавливает подходящие устройства, которые подключаются к подходящей сети. Остановка или отключение этой службы не позволит Windows автоматически обнаруживать и устанавливать подходящие устройства, подключенные к сети. Однако пользователи могут вручную добавлять подключенные к сети устройства на ПК через пользовательский интерфейс.		Вручную (активировать запуск)	Локальная служба
Автоматическое обновление часового пояса	Автоматическая настройка часового пояса для системы.		Отключена	Локальная служба
Автонастройка WWAN	Эта служба управляет мобильными широкополосными (GSM и CDMA) карточками данных и встроенными модульными адаптерами, а также подключениями и автоматической настройкой сетей. Настоятельно рекомендуется не отключать и не останавливать эту службу для обеспечения наилучшей работы мобильных широкополосных устройств.		Вручную	Локальная система
Автономные файлы	Служба автономных файлов выполняет работу по обслуживанию кэша автономных файлов, отвечает на события входа пользователя в систему и выхода его из системы, реализует свойства общих API и отсылает интересующимся работой автономных файлов и изменениями состояния кэша те события, которые им интересны.		Вручную (активировать запуск)	Локальная система
Агент политики IPsec	Безопасность протокола IP (IPsec) поддерживает проверку подлинности кэширующих узлов на сетевом уровне, проверку подлинности источника данных, проверку целостности данных, их конфиденциальность (шифрование) и защиту повторения.  Эта служба вводит в действие политики IPsec, созданные с помощью оснастки "Политики IP-безопасности" или средством командной строки "netsh ipsec".  Остановка этой службы может привести к возникновению проблем с сетевыми подключениями, если политика требует, чтобы соединения использовали IPsec.  Кроме того, если остановлена эта служба, то удаленное управление брандмауэром Защитника Windows недоступно.	Выполняется	Вручную (активировать запуск)	Сетевая служба
Адаптер производительности WMI	Предоставляет сведения библиотеки производительности от поставщиков инструментария управления Windows (WMI) клиентам сети. Эта служба доступна только при активации модуля поддержки данных производительности.		Вручную	Локальная система
Биометрическая служба Windows	Биометрическая служба Windows предназначена для сбора, сравнения, обработки и хранения биометрических данных в клиентских приложениях без получения непосредственного доступа к биометрическим образцам или оборудованию. Эта служба размещается в привилегированном процессе SVCHOST.		Вручную (активировать запуск)	Локальная система
Брандмауэр Защитника Windows	Брандмауэр Защитника Windows помогает предотвратить несанкционированный доступ к вашему компьютеру через Интернет или сеть.	Выполняется	Автоматически	Локальная служба
Брокер времени	Координирует выполнение фоновой работы для приложения WinRT. Если эта служба остановлена или отключена, фоновую работу невозможно инициировать.	Выполняется	Вручную (активировать запуск)	Локальная служба
Брокер мониторинга среды выполнения System Guard	Отслеживает и подтверждает целостность платформы Windows.	Выполняется	Автоматически (отложенный запуск, запуск по триггеру)	Локальная система
Брокер системных событий	Координирует выполнение фоновой работы для приложения WinRT. Если эта служба остановлена или отключена, фоновую работу невозможно инициировать.	Выполняется	Автоматически (запуск по триггеру)	Локальная система
Брокер фонового обнаружения DevQuery	Позволяет приложениям обнаруживать устройства с фоновой задачей		Вручную (активировать запуск)	Локальная система
Быстрая проверка	Проверяет потенциальные повреждения файловой системы.		Вручную (активировать запуск)	Локальная система
Веб-клиент	Позволяет Windows-программам создавать, получать доступ и изменять файлы, хранящиеся в Интернете. Если эта служба остановлена, эти функции не доступны. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную (активировать запуск)	Локальная служба
Виртуальный диск	Предоставление служб управления дисками, томами, файловыми системами и массивами запоминающих устройств.		Вручную	Локальная система
Время в сети мобильной связи	Эта служба устанавливает время на основе сообщений службы NITZ, получаемых из сети мобильной связи		Вручную (активировать запуск)	Локальная служба
Вспомогательная служба IP	Обеспечивает возможность туннельного подключения с помощью технологий туннелирования для IP версии 6 (6to4, ISATAP, порты прокси и Teredo), а также IP-HTTPS. Если остановить эту службу, компьютер не сможет использовать дополнительные возможности подключения, предоставляемые этими технологиями.	Выполняется	Автоматически	Локальная система
Встроенный режим	Служба "Встроенный режим" позволяет выполнять сценарии, относящиеся к фоновым приложениям. Если отключить эту службу, фоновые приложения не будут активироваться.		Вручную (активировать запуск)	Локальная система
Вторичный вход в систему	Позволяет запускать процессы от имени другого пользователя. Если эта служба остановлена, этот тип регистрации пользователя недоступен. Если эта служба отключена, то нельзя запустить другие службы, которые явно зависят от нее.		Вручную	Локальная система
Готовность приложений	Подготовка приложений к использованию при первом входе пользователя на компьютер или добавлении новых приложений.		Вручную	Локальная система
Группировка сетевых участников	Включает многосторонние взаимодействия с помощью группировки одноранговой сети. При отключении некоторые приложения, например, домашняя группа, могут перестать работать.		Вручную	Локальная служба
Диспетчер автоматических подключений удаленного доступа	Создает подключение к удаленной сети, когда программа обращается к удаленному DNS- или NetBIOS-имени или адресу.		Вручную	Локальная система
Диспетчер локальных сеансов	Основная служба Windows, которая управляет локальными сеансами пользователей. Остановка или отключение этой службы приведет к нестабильной работе системы.	Выполняется	Автоматически	Локальная система
Диспетчер настройки устройств	Включение обнаружения, скачивания и установки программного обеспечения, относящегося к устройствам. Если эту службу отключить, то устройства могут быть настроены на использование устаревшего программного обеспечения и работать неправильно.		Вручную (активировать запуск)	Локальная система
Диспетчер печати	Эта служба позволяет ставить задания печати в очередь и обеспечивает взаимодействие с принтером. Если ее отключить, вы не сможете выполнять печать и видеть свои принтеры.	Выполняется	Автоматически	Локальная система
Диспетчер платежей и NFC/защищенных элементов	Управляет платежами и защищенными элементами на основе NFC.		Вручную (активировать запуск)	Локальная служба
Диспетчер подключений Windows	Принимает решения об автоматическом подключении или отключении, исходя из доступных для ПК параметров подключения к сети, и позволяет управлять подключениями к сети с помощью параметров групповой политики.	Выполняется	Автоматически (запуск по триггеру)	Локальная служба
Диспетчер подключений удаленного доступа	Управляет подключениями удаленного доступа и виртуальной частной сети (VPN) с данного компьютера к Интернету или другим удаленным сетям. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Автоматически	Локальная система
Диспетчер пользователей	Диспетчер пользователей предоставляет компоненты среды выполнения, необходимые для взаимодействия нескольких пользователей. Если эта служба остановлена, некоторые приложения могут работать неправильно.	Выполняется	Автоматически (запуск по триггеру)	Локальная система
Диспетчер проверки подлинности Xbox Live	Обеспечивает авторизацию и проверку подлинности во время взаимодействия с Xbox Live. При прекращении работы диспетчера в работе некоторых приложений может произойти сбой.		Вручную	Локальная система
Диспетчер скачанных карт	Служба Windows, обеспечивающая доступ приложений к скачанным картам. Эта служба запускается по требованию приложением, которому необходим доступ к скачанным картам. Если вы отключите эту службу, приложения не смогут работать с картами.		Автоматически (отложенный запуск)	Сетевая служба
Диспетчер удостоверения сетевых участников	Предоставляет службы идентификации для протокола однорангового разрешения имен (PNRP) и группировки одноранговой сети. В случае запрещения службы для протокола однорангового разрешения имен (PNRP) и группировки одноранговой сети, а также некоторые приложения, например домашняя группа и Remote Assistance, могут оказаться неработоспособными.		Вручную	Локальная служба
Диспетчер учетных веб-записей	Эта служба используется диспетчером учетных веб-записей для однократного входа в приложения и службы.	Выполняется	Вручную	Локальная система
Диспетчер учетных данных	Обеспечивает защищенное хранение и извлечение учетных данных пользователей, приложений и служебных пакетов.	Выполняется	Вручную	Локальная система
Диспетчер учетных записей безопасности	Запуск этой службы служит для других служб сигналом о том, что диспетчер учетных записей безопасности (SAM) готов к приему запросов.  При отключении данной службы другие службы в системе не получат уведомления о готовности SAM, что в свою очередь может помешать корректному запуску этих служб. Не следует отключать эту службу.	Выполняется	Автоматически	Локальная система
Доступ к устройствам HID	Активирует и поддерживает использование клавиш быстрого вызова на клавиатурах, пультов дистанционного управления и других устройств мультимедиа. Отключение этой службы не рекомендуется.	Выполняется	Вручную (активировать запуск)	Локальная система
Журнал событий Windows	Эта служба управляет событиями и журналами событий. Она поддерживает регистрацию и запрос событий, подписку на события, архивацию журналов и управление метаданными событий. События могут отображаться в формате XML и текстовом формате. Остановка этой службы может снизить безопасность и надежность системы.	Выполняется	Автоматически	Локальная служба
Журналы и оповещения производительности	Служба журналов производительности и оповещений собирает данные с локальных и удаленных компьютеров соответственно заданным параметрам расписания, а затем записывает данные в журнал или выдает оповещение. Если данная служба остановлена, все сведения о производительности не собираются. Если данная служба отключена, все явно зависящие от нее службы запущены не будут.		Вручную	Локальная служба
Защита программного обеспечения	Разрешает скачивание, установку и принудительное применение цифровых лицензий для Windows и приложений Windows. Если служба отключена, возможно, операционная система и лицензированные приложения будут работать в режиме уведомления. Настоятельно рекомендуется не отключать службу защиты программного обеспечения.		Автоматически (отложенный запуск, запуск по триггеру)	Сетевая служба
Изоляция ключей CNG	Служба изоляции ключей CNG размещается в процессе LSA. Эта служба обеспечивает изоляцию процесса ключа для закрытых ключей и связанных операций криптографии, как того требуют общие критерии. Эта служба хранит и использует долгоживущие ключи в безопасном процессе в соответствии с требованиями общих критериев.	Выполняется	Вручную (активировать запуск)	Локальная система
Инструментарий управления Windows	Предоставляет общий интерфейс и объектную модель для доступа к информации об управлении операционной системой, устройствами, приложениями и службами. После остановки данной службы многие Windows-приложения могут работать некорректно. При отключении данной службы зависимые от нее службы не смогут быть запущены.	Выполняется	Автоматически	Локальная система
Интерфейс гостевой службы Hyper-V	Интерфейс для взаимодействия узла Hyper-V с определенными службами, которые выполняются на виртуальной машине.		Вручную (активировать запуск)	Локальная система
Использование данных	Использование данных сети, лимит трафика, ограничение фоновой передачи данных, сети с лимитным тарифным планом.	Выполняется	Автоматически	Локальная служба
Клиент групповой политики	Данная служба отвечает за применение параметров, настроенных администраторами для компьютеров и пользователей с помощью компонента "Групповая политика". Если эта служба отключена, параметры не будут применяться, а приложениями и компонентами будет невозможно управлять через групповую политику. В этом случае могут не работать компоненты или приложения, зависящие от компонента "Групповая политика".	Выполняется	Автоматически (запуск по триггеру)	Локальная система
Клиент отслеживания изменившихся связей	Поддерживает связи NTFS-файлов, перемещаемых в пределах компьютера или между компьютерами в сети.	Выполняется	Автоматически	Локальная система
Контейнер службы Microsoft Passport	Управляет ключами удостоверений локального пользователя, используемыми для проверки подлинности пользователя для поставщиков удостоверений, а также виртуальными смарт-картами TPM. Если эта служба отключена, ключи удостоверений локального пользователя и виртуальные смарт-карты TPM будут недоступны. Рекомендуется не перенастраивать службу.		Вручную (активировать запуск)	Локальная служба
Координатор распределенных транзакций	Координация транзакций, охватывающих несколько диспетчеров ресурсов, таких как базы данных, очереди сообщений и файловые системы. Если остановить данную службу, то такие транзакции будут выполняться с ошибкой. Если данная служба отключена, то запуск любых явно зависящих от нее служб станет невозможен.		Вручную	Сетевая служба
Ловушка SNMP	Принимает сообщения перехвата, созданные локальными или удаленными агентами SNMP и пересылает их программам управления SNMP, запущенными на этом компьютере. Если эта служба остановлена, программы на основе SNMP на данном компьютере перестанут получать сообщения перехвата. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную	Локальная служба
Локатор удаленного вызова процедур (RPC)	В Windows 2003 и более ранних версиях Windows служба "Локатор удаленного вызова процедур (RPC)" управляла базой данных службы имен RPC. В Windows Vista и более поздних версиях Windows эта служба не выполняет каких-либо функций и присутствует для обеспечения совместимости с устаревшими приложениями.		Вручную	Сетевая служба
Маршрутизация и удаленный доступ	Предлагает услуги маршрутизации организациям в локальной и глобальной сетях.		Отключена	Локальная система
Модули ключей IPsec для обмена ключами в Интернете и протокола IP с проверкой подлинности	Служба IKEEXT содержит модули для работы с ключами в Интернете (IKE) и по протоколу IP с проверкой подлинности (AuthIP). Эти модули для работы с ключами используются при проверке подлинности и обмене ключами в протоколе безопасности IP (IPsec). Остановка или отключение службы IKEEXT ведет к отключению обмена ключами IKE и AuthIP с другими компьютерами. Как правило, IPsec настроен на использование IKE или AuthIP; таким образом, остановка или отключение службы IKEEXT может привести к сбою в работе IPsec и поставить под угрозу безопасность системы. Настоятельно рекомендуется, чтобы служба IKEEXT была включена.	Выполняется	Автоматически (запуск по триггеру)	Локальная система
Модуль запуска процессов DCOM-сервера	Служба DCOMLAUNCH запускает COM- и DCOM-серверы в ответ на запросы активации объектов. Если отключить или остановить эту службу, то программы, использующие COM или DCOM, будут работать неправильно. Отключать службу DCOMLAUNCH не рекомендуется.	Выполняется	Автоматически	Локальная система
Модуль поддержки NetBIOS через TCP/IP	Осуществляет поддержку NetBIOS через службу TCP/IP (NetBT) и разрешение имен NetBIOS для клиентов в сети, позволяя пользователям получать общий доступ к файлам, принтерам, а также подключаться к сети. Если данная служба остановлена, эти функции могут быть недоступны. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Вручную (активировать запуск)	Локальная служба
Монитор сервера кадров камеры Windows	Отслеживает работоспособность и состояние службы сервера кадров камеры Windows.		Вручную (активировать запуск)	Локальная система
Настройка сервера удаленных рабочих столов	Служба настройки сервера удаленных рабочих столов (RDCS) отвечает за все действия, связанные с настройкой и обслуживанием сеансов служб удаленных рабочих столов и удаленного доступа, для которых необходим контекст SYSTEM. Это касается временных папок сеансов, тем и сертификатов удаленных рабочих столов.		Вручную	Локальная система
Немедленные подключения Windows - регистратор настройки	Служба WCNCSVC содержит конфигурацию Windows Connect Now (реализация протокола WPS от Майкрософт). Она используется для параметры параметров беспроводных сетей для точки доступа или Wi-Fi-устройства. Служба запускается программно при необходимости.		Вручную	Локальная служба
Обнаружение SSDP	Обнаруживает сетевые устройства и службы, использующие протокол обнаружения SSDP, такие как устройства UPnP. Также объявляет устройства и службы SSDP, работающие на локальном компьютере. Если эта служба остановлена, обнаружение устройств, использующих SSDP, не будет выполняться. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Вручную	Локальная служба
Общий доступ к подключению к Интернету (ICS)	Предоставляет службы трансляции сетевых адресов, адресации, разрешения имен и службы предотвращения вторжения для домашней сети или сети небольшого офиса.		Вручную (активировать запуск)	Локальная система
Определение оборудования оболочки	Предоставляет уведомления для событий автозапуска на различных устройствах.	Выполняется	Автоматически	Локальная система
Оптимизация дисков	Помогает компьютеру работать более эффективно за счет оптимизации файлов на запоминающих устройствах.		Вручную	Локальная система
Оптимизация доставки	Выполнение задач по оптимизации доставки содержимого		Автоматически (отложенный запуск, запуск по триггеру)	Сетевая служба
Перенаправитель портов пользовательского режима служб удаленных рабочих столов	Позволяет выполнить перенаправление принтеров, драйверов или портов для подключений к удаленному рабочему столу		Вручную	Локальная система
Питание	Управляет политикой питания и отправкой уведомлений политики питания.	Выполняется	Автоматически	Локальная система
Планировщик заданий	Позволяет настраивать расписание автоматического выполнения задач на этом компьютере. Данная служба также отвечает за выполнение нескольких критически важных системных задач Windows. Если эта служба остановлена, эти задачи не могут быть запущены в установленное расписанием время. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.	Выполняется	Автоматически	Локальная система
Поддержка панели управления "Отчеты о проблемах"	Эта служба обеспечивает просмотр, отправку и удаление отчетов о проблемах системного уровня для панели управления "Отчеты о проблемах".		Вручную	Локальная система
Политика удаления смарт-карт	Позволяет настроить систему так, чтобы рабочий стол блокировался при извлечении смарт-карты.		Вручную	Локальная система
Помощник по входу в учетную запись Майкрософт	Включение входа в систему на основе служб удостоверений учетных записей Майкрософт. Если эта служба остановлена, пользователи не смогут входить на компьютер с помощью своих учетных записей Майкрософт.	Выполняется	Вручную (активировать запуск)	Локальная система
Помощник по подключению к сети	Вывод уведомления о состоянии DirectAccess для компонентов пользовательского интерфейса		Вручную (активировать запуск)	Локальная система
Посредник подключений к сети	Подключения к посредникам, позволяющие приложениям Магазина Windows получать уведомления из Интернета.	Выполняется	Вручную (активировать запуск)	Локальная система
Проверка подлинности на основе физических параметров	Служба агрегатора сигнала, которая оценивает сигналы на основе времени, сети, геолокации, bluetooth и факторов cdf. Поддерживаемые функции: "Разблокировка устройства", "Динамическая блокировка" и "Политики MDM Dynamo"		Вручную (активировать запуск)	Локальная система
Проводная автонастройка	Служба Wired AutoConfig (DOT3SVC) отвечает за проверку подлинности IEEE 802.1X интерфейсов Ethernet. Если текущее развертывание проводных сетей использует проверку подлинности 802.1X, необходимо настроить службу DOT3SVC для возможности подключения уровня 2 и предоставления доступа к сетевым ресурсам. На проводные сети, не использующие проверку подлинности 802.1X, служба DOT3SVC не влияет.		Вручную	Локальная система
Программа архивации данных	Обеспечивает функции архивации и восстановления Windows.		Вручную	Локальная система
Программный поставщик теневого копирования (Microsoft)	Управляет программным созданием теневых копий службой теневого копирования тома. Если эта служба остановлена, то управление программным созданием теневых копий невозможно. Если эта служба отключена, любые службы, которые явно зависят от нее, не могут быть запущены.		Вручную	Локальная система
Протокол PNRP	Разрешает безсерверное одноранговое разрешение имен через Интернет. В случае запрещения некоторые приложения для одноранговых сетей и совместной работы, такие как Remote Assistance, могут оказаться неработоспособными.		Вручную	Локальная служба
Публикация ресурсов обнаружения функции	Публикует этот компьютер с его ресурсами, так что их можно будет обнаружить в сети.  Если эта служба остановлена, то сетевые ресурсы уже не будут публиковаться и не будут обнаруживаться другими компьютерами в сети.		Вручную (активировать запуск)	Локальная служба
Рабочая станция	Создает и поддерживает клиентские сетевые подключения к удаленным серверам по протоколу SMB. Если данная служба будет остановлена, эти подключения станут недоступными. Если данная служба отключена, все явно зависящие от нее службы запустить не удастся.	Выполняется	Автоматически	Сетевая служба
Рабочие папки	Эта служба синхронизирует файлы с сервером рабочих папок, благодаря чему их можно использовать на любом компьютере или устройстве, на котором вы настроили рабочие папки.		Вручную	Локальная служба
Распространение сертификата	Копирует сертификаты пользователя и корневые сертификаты со смарт-карты в хранилище сертификатов текущего пользователя, обнаруживает установку смарт-карт в устройство чтения смарт-карт и при необходимости устанавливает самонастраивающийся мини-драйвер смарт-карт.		Вручную (активировать запуск)	Локальная система
Расширения и уведомления для принтеров	Эта служба открывает пользовательские диалоговые окна для принтеров и обрабатывает уведомления от удаленного сервера печати или принтера. Если вы ее отключите, то не сможете видеть расширения и уведомления для принтеров.		Вручную	Локальная система
Расширяемый протокол проверки подлинности (EAP)	Служба расширяемого протокола проверки подлинности (EAP) обеспечивает проверку подлинности в сети в таких сценариях, как 802.1x (проводные и беспроводные сети), VPN и защита сетевого доступа (NAP).  EAP также обеспечивает поддержку API-интерфейсов, используемых клиентами доступа к сети, такими как беспроводной клиент и VPN-клиент, в процессе проверки подлинности.  Если эта служба отключена, компьютеру не удастся получить доступ к сетям, требующим проверку подлинности EAP.		Вручную	Локальная система
Рекомендованная служба устранения неполадок	Позволяет автоматически устранять известные проблемы, применяя рекомендуемые способы устранения неполадок. Если устройство будет остановлено, оно не получит рекомендации по устранению неполадок на нем.		Вручную	Локальная система
